Airline,Hub,DOT Code
DL,ATL,10397
DL,BOS,10721
DL,DTW,11433
DL,LAX,12892
DL,MSP,13487
DL,JFK,12478
DL,LGA,12953
DL,SLC,14869
DL,SEA,14747
AA,CLT,11057
AA,ORD,13930
AA,DFW,11298
AA,LAX,12892
AA,MIA,13303
AA,JFK,12478
AA,LGA,12953
AA,PHL,14100
AA,PHX,14107
AA,DCA,11278
AS,ANC,10299
AS,LAX,12892
AS,PDX,14057
AS,SFO,14771
AS,SEA,14747
CO,CLE,11042
CO,IAH,12266
CO,EWR,11618
CO,DEN,11292
NW,DTW,11433
NW,MEM,13244
NW,MSP,13487
TWA,ATL,10397
TWA,DEN,11292
TWA,JFK,12478
TWA,PIT,14122
TWA,STL,15016
UA,ORD,13930
UA,DEN,11292
UA,IAH,12266
UA,LAX,12892
UA,EWR,11618
UA,SFO,14771
UA,IAD,12264
US,CLT,11057
US,PHL,14100
US,PHX,14107
US,DCA,11278
F9,DEN,11292
FL,ATL,10397
FL,BWI,10821
FL,MKE,13342
FL,MCO,13204
J7,ATL,10397
J7,BOS,10721
J7,MIA,13303
J7,MCO,13204
J7,PHL,14100
J7,IAD,12264
KN,SLC,14869
KP,EWR,11618
N7,LAS,12889
NJ,MCI,13198
NK,ACY,10158
NK,ORD,13930
NK,DFW,11298
NK,DTW,11433
NK,FLL,11697
NK,LAS,12889
NK,MCO,13204
XL,DET,11295
QQ,SJC,14831
QQ,LAS,12889
QQ,RNO,14570
SY,MSP,13487
TZ,MDW,13232
TZ,IND,12339
W7,DEN,11292
W7,COS,11109
W9,TTN,15356
W9,GSO,11995
WN,ATL,10397
WN,BWI,10821
WN,MDW,13232
WN,DAL,11259
WN,DEN,11292
WN,HOU,12191
WN,LAS,12889
WN,LAX,12892
WN,OAK,13796
WN,MCO,13204
WN,PHX,14107
WV,ATL,10397
WV,CAE,10868
ZA,DSM,11423
